article,stage,x_economic,y_social
data/articles\AP-alex.txt,0,-5.279999999999999,-4.19
data/articles\AP-alex.txt,1,-4.14,-3.890000000000001
data/articles\AP-alex.txt,2,-3.0199999999999996,-2.99
data/articles\AP-alex.txt,3,-3.0199999999999996,-3.4900000000000007
data/articles\AP-alex.txt,4,-3.0199999999999996,-3.9500000000000006
data/articles\AP-alex.txt,5,-3.0199999999999996,-2.99
data/articles\AP-alex.txt,6,-3.6399999999999997,-3.64
data/articles\AP-alex.txt,7,-3.6399999999999997,-4.19
data/articles\AP-alex.txt,8,-6.3999999999999995,-4.39
data/articles\AP-alex.txt,9,-3.6399999999999997,-3.85
data/articles\BBC-alex.txt,0,-5.279999999999999,-4.590000000000001
data/articles\BBC-alex.txt,1,-5.279999999999999,-4.2
data/articles\BBC-alex.txt,2,-5.279999999999999,-5.000000000000001
data/articles\BBC-alex.txt,3,-5.905,-4.8
data/articles\BBC-alex.txt,4,-7.0249999999999995,-4.489999999999999
data/articles\BBC-alex.txt,5,-3.0199999999999996,-4.750000000000001
data/articles\BBC-alex.txt,6,-3.6449999999999996,-3.3900000000000006
data/articles\BBC-alex.txt,7,-6.46,-4.2
data/articles\BBC-alex.txt,8,-4.21,-3.7400000000000007
data/articles\BBC-alex.txt,9,-3.0199999999999996,-3.2000000000000006
data/articles\CNN-alex.txt,0,-5.279999999999999,-4.44
data/articles\CNN-alex.txt,1,-2.5199999999999996,-4.79
data/articles\CNN-alex.txt,2,-3.0199999999999996,-3.1900000000000004
data/articles\CNN-alex.txt,3,-3.0199999999999996,-2.99
data/articles\CNN-alex.txt,4,-3.0199999999999996,-2.99
data/articles\CNN-alex.txt,5,-6.3999999999999995,-3.7400000000000007
data/articles\CNN-alex.txt,6,-4.765,-4.590000000000001
data/articles\CNN-alex.txt,7,-3.6449999999999996,-3.9500000000000006
data/articles\CNN-alex.txt,8,-6.3999999999999995,-4.24
data/articles\CNN-alex.txt,9,-3.6449999999999996,-3.2400000000000007
data/articles\CNN-alex.txt,10,-3.0199999999999996,-5.1000000000000005
data/articles\FOX-alex.txt,0,-3.0199999999999996,-4.29
data/articles\FOX-alex.txt,1,-5.279999999999999,-4.390000000000001
data/articles\FOX-alex.txt,2,-3.0199999999999996,-3.6900000000000004
data/articles\FOX-alex.txt,3,-3.0199999999999996,-4.95
data/articles\FOX-alex.txt,4,-3.0199999999999996,-3.8900000000000006
data/articles\FOX-alex.txt,5,-3.6449999999999996,-3.9500000000000006
data/articles\FOX-alex.txt,6,-5.339999999999999,-3.2400000000000007
data/articles\FOX-alex.txt,7,-3.5199999999999996,-4.9
data/articles\FOX-alex.txt,8,-3.0199999999999996,-2.99
data/articles\FOX-alex.txt,9,-3.5199999999999996,-3.9500000000000006
data/articles\FOX-alex.txt,10,-4.265,-5.15
data/articles\NYPOST-alex.txt,0,-5.279999999999999,-4.79
data/articles\NYPOST-alex.txt,1,-3.0199999999999996,-3.2900000000000005
data/articles\NYPOST-alex.txt,2,-3.6449999999999996,-2.6900000000000004
data/articles\NYPOST-alex.txt,3,-3.6449999999999996,-4.3
data/articles\NYPOST-alex.txt,4,-3.6449999999999996,-2.99
data/articles\NYPOST-alex.txt,5,-3.0199999999999996,-3.4900000000000007
data/articles\NYPOST-alex.txt,6,-3.0199999999999996,-4.050000000000001
data/articles\NYPOST-alex.txt,7,-4.765,-4.8500000000000005
data/articles\NYPOST-alex.txt,8,-3.6449999999999996,-2.4900000000000007
data/articles\NYPOST-alex.txt,9,-4.265,-4.54
data/articles\NYPOST-alex.txt,10,-3.0199999999999996,-3.2900000000000005
data/articles\NYPOST-alex.txt,11,-4.215,-2.7400000000000007
data/articles\NYT-alex.txt,0,-5.279999999999999,-5.250000000000001
data/articles\NYT-alex.txt,1,-3.0199999999999996,-2.7400000000000007
data/articles\NYT-alex.txt,2,-4.715,-4.24
data/articles\NYT-alex.txt,3,-3.0199999999999996,-2.99
data/articles\NYT-alex.txt,4,-3.6449999999999996,-2.99
data/articles\NYT-alex.txt,5,-3.0199999999999996,-2.4400000000000004
data/articles\NYT-alex.txt,6,-3.0199999999999996,-4.65
data/articles\NYT-alex.txt,7,-3.5199999999999996,-3.190000000000001
data/articles\NYT-alex.txt,8,-3.0199999999999996,-3.9900000000000007
data/articles\NYT-alex.txt,9,-3.6449999999999996,-3.9900000000000007
data/articles\NYT-alex.txt,10,-3.0199999999999996,-3.390000000000001
data/articles\NYT-alex.txt,11,-3.0199999999999996,-3.9900000000000007
