article,stage,x_economic,y_social
data/articles\alex-articles\AP-alex.txt,0,-1.12,-6.4617948717948686
data/articles\alex-articles\AP-alex.txt,1,-1.87,-6.564358974358972
data/articles\alex-articles\AP-alex.txt,2,-1.87,-6.872051282051279
data/articles\alex-articles\AP-alex.txt,3,-0.9950000000000001,-6.5130769230769205
data/articles\alex-articles\AP-alex.txt,4,-1.12,-6.615641025641023
data/articles\alex-articles\AP-alex.txt,5,-1.87,-6.154102564102562
data/articles\alex-articles\AP-alex.txt,6,-1.12,-6.205384615384614
data/articles\alex-articles\AP-alex.txt,7,-1.12,-6.307948717948716
data/articles\alex-articles\AP-alex.txt,8,-1.745,-6.513076923076921
data/articles\alex-articles\AP-alex.txt,9,-1.87,-6.307948717948716
data/articles\alex-articles\AP-alex.txt,10,-1.12,-6.410512820512819
data/articles\alex-articles\AP-alex.txt,11,-1.12,-5.8976923076923065
data/articles\alex-articles\BBC-alex.txt,0,-1.12,-6.4617948717948686
data/articles\alex-articles\BBC-alex.txt,1,-1.745,-6.205384615384614
data/articles\alex-articles\BBC-alex.txt,2,-1.87,-6.5130769230769205
data/articles\alex-articles\BBC-alex.txt,3,-1.87,-6.615641025641023
data/articles\alex-articles\BBC-alex.txt,4,-1.87,-6.718205128205126
data/articles\alex-articles\BBC-alex.txt,5,-1.495,-6.5130769230769205
data/articles\alex-articles\BBC-alex.txt,6,-1.87,-6.410512820512819
data/articles\alex-articles\BBC-alex.txt,7,-0.9950000000000001,-6.205384615384613
data/articles\alex-articles\BBC-alex.txt,8,-1.745,-6.410512820512819
data/articles\alex-articles\BBC-alex.txt,9,-1.87,-6.5130769230769205
data/articles\alex-articles\BBC-alex.txt,10,-1.87,-6.513076923076921
data/articles\alex-articles\BBC-alex.txt,11,-1.62,-6.718205128205126
data/articles\alex-articles\CNN-alex.txt,0,-1.12,-5.948974358974358
data/articles\alex-articles\CNN-alex.txt,1,-1.12,-6.5130769230769205
data/articles\alex-articles\CNN-alex.txt,2,-1.87,-6.718205128205126
data/articles\alex-articles\CNN-alex.txt,3,-1.87,-6.5130769230769205
data/articles\alex-articles\CNN-alex.txt,4,-1.87,-6.615641025641023
data/articles\alex-articles\CNN-alex.txt,5,-1.12,-6.615641025641023
data/articles\alex-articles\CNN-alex.txt,6,-0.9950000000000001,-6.820769230769228
data/articles\alex-articles\CNN-alex.txt,7,-1.12,-6.102820512820511
data/articles\alex-articles\CNN-alex.txt,8,-1.12,-5.8976923076923065
data/articles\alex-articles\CNN-alex.txt,9,-1.745,-6.410512820512819
data/articles\alex-articles\CNN-alex.txt,10,-1.12,-6.5130769230769205
data/articles\alex-articles\CNN-alex.txt,11,-1.87,-6.5130769230769205
data/articles\alex-articles\FOX-alex.txt,0,-1.12,-6.4617948717948686
data/articles\alex-articles\FOX-alex.txt,1,-2.245,-6.92333333333333
data/articles\alex-articles\FOX-alex.txt,2,-1.745,-6.5130769230769205
data/articles\alex-articles\FOX-alex.txt,3,-1.745,-6.820769230769228
data/articles\alex-articles\FOX-alex.txt,4,-1.745,-6.820769230769228
data/articles\alex-articles\FOX-alex.txt,5,-0.9950000000000001,-6.615641025641023
data/articles\alex-articles\FOX-alex.txt,6,-1.87,-6.872051282051279
data/articles\alex-articles\FOX-alex.txt,7,-1.87,-6.205384615384614
data/articles\alex-articles\FOX-alex.txt,8,-1.745,-6.820769230769228
data/articles\alex-articles\FOX-alex.txt,9,-1.87,-6.718205128205126
data/articles\alex-articles\FOX-alex.txt,10,-1.745,-6.5130769230769205
data/articles\alex-articles\FOX-alex.txt,11,-1.745,-6.513076923076921
data/articles\alex-articles\NYPOST-alex.txt,0,-1.12,-6.4617948717948686
data/articles\alex-articles\NYPOST-alex.txt,1,-1.87,-6.564358974358972
data/articles\alex-articles\NYPOST-alex.txt,2,-1.12,-6.615641025641023
data/articles\alex-articles\NYPOST-alex.txt,3,-1.745,-6.513076923076921
data/articles\alex-articles\NYPOST-alex.txt,4,-1.745,-6.5130769230769205
data/articles\alex-articles\NYPOST-alex.txt,5,-1.745,-6.615641025641023
data/articles\alex-articles\NYPOST-alex.txt,6,-1.995,-6.615641025641023
data/articles\alex-articles\NYPOST-alex.txt,7,-1.745,-6.513076923076921
data/articles\alex-articles\NYPOST-alex.txt,8,-1.745,-6.307948717948716
data/articles\alex-articles\NYPOST-alex.txt,9,-1.62,-6.718205128205126
data/articles\alex-articles\NYPOST-alex.txt,10,-1.745,-6.410512820512819
data/articles\alex-articles\NYPOST-alex.txt,11,-1.745,-6.513076923076921
data/articles\alex-articles\NYT-alex.txt,0,-1.12,-5.948974358974358
data/articles\alex-articles\NYT-alex.txt,1,-1.745,-6.615641025641023
data/articles\alex-articles\NYT-alex.txt,2,-1.87,-6.872051282051279
data/articles\alex-articles\NYT-alex.txt,3,-1.87,-6.307948717948716
data/articles\alex-articles\NYT-alex.txt,4,-1.87,-6.5130769230769205
data/articles\alex-articles\NYT-alex.txt,5,-1.12,-6.154102564102563
data/articles\alex-articles\NYT-alex.txt,6,-1.745,-6.5130769230769205
data/articles\alex-articles\NYT-alex.txt,7,-1.745,-6.5130769230769205
data/articles\alex-articles\NYT-alex.txt,8,-1.745,-6.205384615384614
data/articles\alex-articles\NYT-alex.txt,9,-1.745,-6.205384615384614
data/articles\alex-articles\NYT-alex.txt,10,-1.87,-5.8976923076923065
data/articles\alex-articles\NYT-alex.txt,11,-1.62,-6.205384615384613
data/articles\anthropic-articles\AP-anthropic.txt,0,-1.12,-6.4617948717948686
data/articles\anthropic-articles\AP-anthropic.txt,1,-1.12,-6.4105128205128175
data/articles\anthropic-articles\AP-anthropic.txt,2,-1.87,-6.307948717948715
data/articles\anthropic-articles\AP-anthropic.txt,3,-1.87,-6.205384615384614
data/articles\anthropic-articles\AP-anthropic.txt,4,-1.87,-6.410512820512819
data/articles\anthropic-articles\AP-anthropic.txt,5,-1.87,-6.307948717948716
data/articles\anthropic-articles\AP-anthropic.txt,6,-1.87,-6.102820512820511
data/articles\anthropic-articles\AP-anthropic.txt,7,-1.12,-6.307948717948716
data/articles\anthropic-articles\AP-anthropic.txt,8,-0.9950000000000001,-6.307948717948716
data/articles\anthropic-articles\AP-anthropic.txt,9,-1.12,-6.410512820512819
data/articles\anthropic-articles\AP-anthropic.txt,10,-1.12,-6.102820512820511
data/articles\anthropic-articles\AP-anthropic.txt,11,-1.12,-6.307948717948716
data/articles\anthropic-articles\BBC-anthropic.txt,0,-1.12,-6.4617948717948686
data/articles\anthropic-articles\BBC-anthropic.txt,1,-1.12,-6.615641025641023
data/articles\anthropic-articles\BBC-anthropic.txt,2,-1.745,-6.4105128205128175
data/articles\anthropic-articles\BBC-anthropic.txt,3,-1.12,-6.410512820512818
data/articles\anthropic-articles\BBC-anthropic.txt,4,-1.745,-6.307948717948716
data/articles\anthropic-articles\BBC-anthropic.txt,5,-1.12,-6.461794871794869
data/articles\anthropic-articles\BBC-anthropic.txt,6,-1.12,-6.5130769230769205
data/articles\anthropic-articles\BBC-anthropic.txt,7,-0.9950000000000001,-6.102820512820512
data/articles\anthropic-articles\BBC-anthropic.txt,8,-0.8700000000000001,-6.307948717948716
data/articles\anthropic-articles\BBC-anthropic.txt,9,-1.745,-6.205384615384614
data/articles\anthropic-articles\BBC-anthropic.txt,10,-1.745,-6.307948717948716
data/articles\anthropic-articles\BBC-anthropic.txt,11,-1.745,-6.513076923076921
data/articles\anthropic-articles\CNN-anthropic.txt,0,-1.12,-6.4617948717948686
data/articles\anthropic-articles\CNN-anthropic.txt,1,-1.995,-6.718205128205126
data/articles\anthropic-articles\CNN-anthropic.txt,2,-1.87,-6.666923076923075
data/articles\anthropic-articles\CNN-anthropic.txt,3,-1.12,-6.872051282051279
data/articles\anthropic-articles\CNN-anthropic.txt,4,-1.745,-6.410512820512818
data/articles\anthropic-articles\CNN-anthropic.txt,5,-1.12,-6.000256410256409
data/articles\anthropic-articles\CNN-anthropic.txt,6,-1.87,-6.205384615384614
data/articles\anthropic-articles\CNN-anthropic.txt,7,-1.87,-6.307948717948716
data/articles\anthropic-articles\CNN-anthropic.txt,8,-1.87,-6.205384615384614
data/articles\anthropic-articles\CNN-anthropic.txt,9,-1.12,-6.102820512820512
data/articles\anthropic-articles\CNN-anthropic.txt,10,-1.12,-6.102820512820512
data/articles\anthropic-articles\CNN-anthropic.txt,11,-1.87,-6.307948717948715
data/articles\anthropic-articles\FOX-anthropic.txt,0,-1.12,-6.4617948717948686
data/articles\anthropic-articles\FOX-anthropic.txt,1,-1.12,-6.564358974358972
data/articles\anthropic-articles\FOX-anthropic.txt,2,-1.745,-6.307948717948716
data/articles\anthropic-articles\FOX-anthropic.txt,3,-1.12,-6.410512820512819
data/articles\anthropic-articles\FOX-anthropic.txt,4,-1.87,-5.795128205128203
data/articles\anthropic-articles\FOX-anthropic.txt,5,-0.9950000000000001,-6.000256410256409
data/articles\anthropic-articles\FOX-anthropic.txt,6,-1.12,-5.795128205128204
data/articles\anthropic-articles\FOX-anthropic.txt,7,-1.12,-5.692564102564101
data/articles\anthropic-articles\FOX-anthropic.txt,8,-1.12,-5.8976923076923065
data/articles\anthropic-articles\FOX-anthropic.txt,9,-1.12,-5.692564102564102
data/articles\anthropic-articles\FOX-anthropic.txt,10,-1.12,-6.307948717948716
data/articles\anthropic-articles\FOX-anthropic.txt,11,-1.12,-6.307948717948716
data/articles\anthropic-articles\NYPOST-anthropic.txt,0,-1.12,-6.4617948717948686
